iter	Passed	Remaining
0	4	4299
1	9	4732
2	13	4494
3	17	4446
4	21	4354
5	25	4244
6	29	4141
7	33	4138
8	37	4142
9	44	4393
10	49	4418
11	55	4591
12	59	4518
13	63	4480
14	67	4417
15	70	4342
16	73	4270
17	77	4203
18	80	4170
19	84	4132
20	87	4079
21	90	4033
22	94	3999
23	97	3982
24	101	3944
25	104	3907
26	107	3865
27	110	3832
28	113	3814
29	117	3785
30	120	3751
31	123	3725
32	126	3703
33	129	3688
34	132	3666
35	135	3641
36	139	3622
37	142	3612
38	146	3598
39	149	3578
40	152	3566
41	155	3548
42	158	3535
43	161	3518
44	164	3501
45	168	3484
46	171	3479
47	178	3535
48	182	3535
49	186	3535
50	190	3545
51	194	3543
52	197	3534
53	201	3522
54	205	3529
55	208	3512
56	211	3496
57	214	3482
58	217	3467
59	220	3459
60	223	3446
61	226	3433
62	230	3421
63	233	3409
64	236	3409
65	240	3407
66	245	3419
67	250	3427
68	256	3466
69	260	3466
70	264	3465
71	268	3465
72	273	3471
73	277	3471
74	281	3471
75	285	3470
76	289	3464
77	293	3467
78	297	3467
79	301	3465
80	305	3461
81	308	3458
82	312	3455
83	316	3448
84	319	3441
85	323	3438
86	326	3431
87	330	3427
88	334	3420
89	338	3421
90	342	3422
91	347	3428
92	351	3430
93	355	3430
94	360	3432
95	364	3430
96	368	3429
97	372	3426
98	375	3421
99	379	3414
100	383	3413
101	387	3412
102	391	3406
103	394	3398
104	398	3396
105	402	3391
106	405	3387
107	409	3384
108	413	3380
109	417	3375
110	420	3368
111	424	3363
112	427	3359
113	431	3352
114	434	3345
115	438	3339
116	441	3332
117	444	3323
118	449	3326
119	452	3321
120	456	3315
121	460	3311
122	463	3304
123	467	3299
124	470	3294
125	474	3290
126	477	3285
127	481	3279
128	484	3272
129	488	3266
130	492	3266
131	495	3258
132	498	3251
133	502	3246
134	506	3242
135	509	3236
136	512	3230
137	516	3225
138	519	3218
139	522	3211
140	525	3203
141	528	3195
142	532	3189
143	534	3180
144	537	3171
145	541	3165
146	544	3157
147	547	3151
148	550	3145
149	553	3138
150	556	3130
151	559	3122
152	562	3114
153	565	3106
154	568	3098
155	571	3090
156	574	3082
157	577	3076
158	580	3068
159	583	3062
160	586	3055
161	589	3048
162	592	3041
163	595	3034
164	598	3027
165	601	3021
166	604	3013
167	607	3007
168	610	3002
169	613	2996
170	616	2990
171	619	2984
172	623	2978
173	626	2972
174	629	2965
175	631	2958
176	634	2951
177	637	2945
178	641	2940
179	644	2936
180	647	2930
181	651	2927
182	654	2920
183	657	2915
184	660	2909
185	663	2903
186	666	2897
187	669	2890
188	672	2884
189	675	2879
190	678	2873
191	681	2867
192	684	2863
193	687	2857
194	690	2851
195	693	2843
196	696	2837
197	699	2831
198	702	2827
199	705	2823
200	709	2818
201	712	2813
202	715	2808
203	718	2804
204	721	2798
205	724	2794
206	728	2788
207	731	2787
208	735	2783
209	739	2782
210	743	2780
211	747	2778
212	751	2775
213	754	2770
214	757	2765
215	760	2759
216	764	2758
217	767	2752
218	770	2748
219	773	2743
220	776	2738
221	780	2736
222	784	2734
223	788	2733
224	792	2729
225	796	2727
226	800	2725
227	803	2721
228	806	2716
229	810	2713
230	815	2714
231	819	2712
232	822	2708
233	826	2706
234	830	2704
235	834	2700
236	837	2697
237	841	2693
238	846	2695
239	849	2691
240	853	2687
241	856	2682
242	861	2684
243	865	2681
244	868	2677
245	872	2673
246	876	2672
247	880	2671
248	884	2666
249	887	2662
250	891	2660
251	895	2659
252	899	2656
253	903	2652
254	907	2651
255	912	2651
256	915	2648
257	919	2644
258	924	2643
259	927	2641
260	931	2636
261	943	2658
262	947	2654
263	950	2650
264	955	2649
265	960	2649
266	963	2646
267	967	2642
268	973	2644
269	976	2639
270	980	2636
271	983	2632
272	991	2640
273	995	2638
274	1006	2652
275	1010	2651
276	1015	2651
277	1021	2654
278	1026	2652
279	1030	2649
280	1036	2651
281	1041	2651
282	1045	2649
283	1054	2657
284	1059	2658
285	1066	2663
286	1073	2668
287	1079	2669
288	1088	2678
289	1093	2677
290	1099	2678
291	1104	2678
292	1109	2678
293	1115	2677
294	1121	2679
295	1125	2676
296	1129	2672
297	1132	2667
298	1135	2662
299	1138	2657
300	1142	2652
301	1145	2648
302	1149	2644
303	1153	2640
304	1156	2634
305	1160	2631
306	1164	2628
307	1167	2624
308	1171	2619
309	1174	2615
310	1178	2610
311	1181	2605
312	1199	2631
313	1202	2627
314	1207	2624
315	1210	2620
316	1214	2615
317	1217	2610
318	1220	2605
319	1223	2600
320	1226	2594
321	1231	2592
322	1234	2586
323	1237	2581
324	1240	2577
325	1244	2572
326	1247	2568
327	1250	2562
328	1253	2556
329	1257	2552
330	1261	2549
331	1265	2545
332	1269	2542
333	1273	2538
334	1277	2536
335	1281	2532
336	1285	2528
337	1289	2525
338	1292	2520
339	1296	2517
340	1300	2512
341	1304	2510
342	1311	2511
343	1315	2508
344	1321	2509
345	1327	2509
346	1331	2506
347	1338	2507
348	1343	2505
349	1347	2502
350	1353	2502
351	1359	2501
352	1363	2499
353	1373	2506
354	1379	2505
355	1385	2506
356	1391	2506
357	1395	2502
358	1402	2504
359	1406	2501
360	1410	2497
361	1415	2495
362	1420	2492
363	1424	2489
364	1430	2488
365	1433	2483
366	1437	2479
367	1441	2475
368	1445	2472
369	1449	2468
370	1453	2464
371	1457	2459
372	1460	2455
373	1465	2452
374	1469	2448
375	1472	2444
376	1476	2440
377	1480	2436
378	1484	2432
379	1488	2428
380	1492	2424
381	1497	2421
382	1500	2417
383	1504	2413
384	1507	2408
385	1512	2405
386	1516	2401
387	1519	2396
388	1523	2392
389	1527	2389
390	1531	2385
391	1535	2381
392	1538	2376
393	1542	2371
394	1545	2366
395	1548	2361
396	1551	2356
397	1554	2351
398	1558	2346
399	1561	2341
400	1564	2336
401	1567	2331
402	1570	2326
403	1573	2321
404	1576	2316
405	1579	2310
406	1582	2306
407	1588	2305
408	1592	2301
409	1596	2297
410	1599	2292
411	1603	2288
412	1607	2284
413	1610	2279
414	1613	2275
415	1617	2270
416	1624	2270
417	1628	2266
418	1632	2263
419	1637	2260
420	1640	2256
421	1643	2251
422	1646	2246
423	1651	2243
424	1654	2238
425	1657	2233
426	1660	2228
427	1664	2224
428	1668	2220
429	1671	2215
430	1674	2210
431	1677	2205
432	1680	2201
433	1684	2196
434	1687	2191
435	1690	2186
436	1694	2182
437	1697	2178
438	1701	2173
439	1704	2169
440	1707	2164
441	1710	2159
442	1713	2154
443	1717	2150
444	1720	2145
445	1723	2140
446	1726	2136
447	1730	2131
448	1733	2127
449	1736	2122
450	1739	2118
451	1743	2113
452	1746	2108
453	1749	2104
454	1752	2099
455	1755	2094
456	1759	2090
457	1763	2086
458	1765	2081
459	1768	2076
460	1772	2072
461	1776	2068
462	1779	2064
463	1783	2059
464	1786	2054
465	1789	2050
466	1792	2045
467	1795	2040
468	1798	2036
469	1801	2031
470	1805	2027
471	1808	2022
472	1811	2018
473	1814	2013
474	1817	2009
475	1820	2004
476	1824	2000
477	1827	1995
478	1830	1991
479	1833	1986
480	1837	1982
481	1840	1978
482	1844	1974
483	1847	1969
484	1850	1965
485	1853	1960
486	1857	1956
487	1860	1952
488	1864	1947
489	1867	1943
490	1870	1938
491	1874	1935
492	1878	1931
493	1881	1927
494	1885	1923
495	1888	1918
496	1892	1915
497	1896	1911
498	1900	1907
499	1903	1903
500	1908	1900
501	1916	1901
502	1922	1899
503	1926	1896
504	1930	1892
505	1934	1888
506	1938	1885
507	1941	1880
508	1945	1876
509	1948	1872
510	1952	1868
511	1955	1863
512	1958	1859
513	1961	1855
514	1965	1850
515	1968	1846
516	1972	1842
517	1975	1838
518	1978	1833
519	1982	1830
520	1986	1826
521	1989	1821
522	1992	1817
523	1995	1813
524	1999	1809
525	2003	1805
526	2006	1800
527	2009	1796
528	2012	1792
529	2016	1787
530	2019	1783
531	2022	1778
532	2025	1774
533	2028	1770
534	2031	1766
535	2034	1761
536	2037	1756
537	2040	1752
538	2043	1748
539	2047	1744
540	2050	1739
541	2053	1735
542	2056	1730
543	2059	1726
544	2062	1721
545	2065	1717
546	2068	1713
547	2071	1708
548	2074	1704
549	2077	1699
550	2080	1695
551	2083	1690
552	2086	1686
553	2089	1681
554	2092	1677
555	2095	1673
556	2097	1668
557	2100	1664
558	2103	1659
559	2106	1655
560	2110	1651
561	2113	1647
562	2116	1642
563	2119	1638
564	2122	1634
565	2125	1630
566	2128	1625
567	2131	1621
568	2134	1617
569	2137	1612
570	2141	1608
571	2143	1604
572	2146	1599
573	2150	1595
574	2153	1591
575	2156	1587
576	2159	1582
577	2161	1578
578	2164	1574
579	2167	1569
580	2170	1565
581	2173	1561
582	2176	1556
583	2181	1554
584	2185	1550
585	2188	1546
586	2192	1542
587	2195	1538
588	2198	1534
589	2201	1529
590	2204	1525
591	2207	1521
592	2210	1517
593	2214	1513
594	2217	1509
595	2221	1505
596	2224	1501
597	2227	1497
598	2230	1493
599	2233	1489
600	2237	1485
601	2241	1481
602	2244	1477
603	2247	1473
604	2250	1469
605	2254	1465
606	2258	1462
607	2262	1458
608	2265	1454
609	2269	1450
610	2273	1447
611	2278	1444
612	2282	1440
613	2287	1437
614	2292	1435
615	2297	1432
616	2301	1428
617	2308	1427
618	2312	1423
619	2318	1421
620	2325	1419
621	2330	1416
622	2337	1414
623	2343	1411
624	2348	1408
625	2355	1407
626	2360	1404
627	2370	1404
628	2376	1401
629	2382	1399
630	2390	1397
631	2394	1394
632	2401	1392
633	2406	1389
634	2410	1385
635	2416	1382
636	2420	1379
637	2424	1375
638	2430	1372
639	2434	1369
640	2438	1365
641	2442	1362
642	2449	1360
643	2455	1357
644	2461	1354
645	2465	1351
646	2470	1347
647	2476	1345
648	2480	1341
649	2484	1337
650	2488	1333
651	2493	1330
652	2496	1326
653	2502	1323
654	2506	1320
655	2515	1318
656	2520	1316
657	2526	1313
658	2531	1309
659	2535	1306
660	2539	1302
661	2543	1298
662	2547	1294
663	2551	1291
664	2554	1286
665	2557	1282
666	2561	1278
667	2564	1274
668	2567	1270
669	2571	1266
670	2574	1262
671	2577	1257
672	2580	1253
673	2583	1249
674	2586	1245
675	2589	1241
676	2593	1237
677	2596	1233
678	2599	1228
679	2603	1225
680	2606	1220
681	2609	1216
682	2612	1212
683	2615	1208
684	2618	1204
685	2621	1200
686	2624	1195
687	2627	1191
688	2630	1187
689	2633	1183
690	2636	1179
691	2639	1174
692	2642	1170
693	2646	1166
694	2649	1162
695	2652	1158
696	2655	1154
697	2658	1150
698	2661	1146
699	2665	1142
700	2668	1138
701	2672	1134
702	2675	1130
703	2678	1126
704	2681	1122
705	2684	1118
706	2687	1113
707	2691	1109
